Nome,Data de Nascimento,Altura(m),Nacionalidade,Gênero,Grupo, 
Adela Smajic,01/03/1993,1.60,Suíça,Feminino,Digital Influencers, 
Aiko,22/11/1975,1.52,Japão,Feminino,Cantores, 
Alba Flores,27/10/1986,1.76,Espanha,Feminino,Atores, 
Afonso Herrera,28/08/1983,1.78,México,Masculino,Atores, 
Alvaro Xaro Neto,04/11/1999,1.83,Brasil,Masculino,Digital Influencers, 
Andrea Chong,21/08/1987,1.63,Canadá,Feminino,Digital Influencers, 
Anitta,30/03/1993,1.62,Brasil,Feminino,Cantores, 
Bruno Mars,08/10/1985,1.65,Estados Unidos,Masculino,Cantores, 
Chiara Ferragni,07/05/1987,1.77,Itália,Feminino,Digital Influencers, 
Christian Chávez,07/08/1983,1.80,México,Masculino,Cantores, 
Deolane Bezerra,01/11/1987,1.63,Brasil,Feminino,Digital Influencers, 
DeWand Wise,30/05/1984,1.68,Estados Unidos,Feminino,Atores, 
Didintle Khunou,14/11/1992,1.61,África do Sul,Feminino,Atores, 
Dulce María,06/12/1985,1.60,México,Feminino,Atores, 
Fernando Lozada,10/08/1989,1.82,México,Masculino,Digital Influencers, 
Giovanna Antonelli,18/03/1976,1.68,Brasil,Feminino,Atores, 
Holland Roden,07/10/1986,1.60,Estados Unidos,Feminino,Atores, 
Ikuforiji Olaitan Abdulrahman,22/04/1997,1.73,Nigéria,Masculino,Cantores, 
Jeon Jung-kook,01/09/1997,1.77,Coreia do Sul,Masculino,Cantores, 
Justin Bieber,01/03/1994,1.75,Canadá,Masculino,Cantores, 
Jung Ho-yeon,23/06/1994,1.76,Coreia do Sul,Feminino,Atores, 
Kim Kardashian,21/10/1980,1.57,Estados Unidos,Feminino,Digital Influencers, 
Lisa,27/03/1997,1.67,Tailândia,Feminino,Cantores, 
Ludmilla,24/04/1995,1.78,Brasil,Feminino,Cantores, 
Lumena Aleluia,18/04/1991,1.68,Brasil,Feminino,Digital Influencers, 
Malu Borges,07/06/1990,1.69,Brasil,Feminino,Digital Influencers, 
Marco Pigossi,01/02/1989,1.80,Brasil,Masculino,Atores, 
Virginia Fonseca Costa,06/04/1999,1.67,Estados Unidos,Feminino,Digital Influencers, 
Wagner Moura,27/06/1976,1.80,Brasil,Masculino,Atores, 
Zaz,01/05/1980,1.63,França,Feminino,Cantores, 
